Agency,Platform,Seconds,List_Per_Spot
2008傳媒,全家企頻,5,750
2008傳媒,全家企頻,10,1500
2008傳媒,全家企頻,15,1950
2008傳媒,全家企頻,20,2550
2008傳媒,全家企頻,30,3000
2008傳媒,萬家福,5,750
2008傳媒,萬家福,10,1500
2008傳媒,萬家福,15,1950
2008傳媒,萬家福,20,2550
2008傳媒,萬家福,30,3000
D drive,全家企頻,5,500
D drive,全家企頻,10,1000
D drive,全家企頻,15,1300
D drive,全家企頻,20,1700
D drive,全家企頻,30,2000
D drive,萬家福,5,1400
D drive,萬家福,10,2600
D drive,萬家福,15,3400
D drive,萬家福,20,4000
D drive,萬家福,30,6000
凱絡,全家企頻,5,500
凱絡,全家企頻,10,1000
凱絡,全家企頻,15,1500
凱絡,全家企頻,20,2000
凱絡,全家企頻,30,3000
凱絡,萬家福,5,1400
凱絡,萬家福,10,2600
凱絡,萬家福,15,3400
凱絡,萬家福,20,4000
凱絡,萬家福,30,6000
